ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice
160,2,21.0,1680,1,1,2,1,1,2,1,0,1,1,0,2,6,5,1971,1971,2,1,2,2,1,232.0,3,3,2,3,3,1,5,387.0,1,0.0,96.0,483.0,1,3,1,2,483,504,0,987,0.0,0.0,1,1,2,1,3,4,2,0,0,1,1971.0,1,1.0,264.0,3,3,2,0,0,0,0,0,0,0,0,0,0,7,2008,0,85400
20,3,64.0,7488,1,1,1,1,1,2,1,1,1,1,1,2,7,5,2005,2005,2,1,3,3,2,0.0,4,3,2,4,3,3,6,393.0,1,0.0,815.0,1208.0,1,5,1,2,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,2,0,0,5,2005.0,2,2.0,632.0,3,3,2,105,58,0,0,0,0,0,0,0,0,2,2006,WD ,183600
70,3,120.0,26400,1,1,2,0,1,0,1,0,0,1,1,2,5,7,1880,2007,2,1,2,2,2,0.0,4,3,2,0,0,1,0,0.0,0,0.0,0.0,0.0,1,5,1,2,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,1,1,3,5,1900.0,1,2.0,576.0,3,3,1,0,0,0,0,0,0,0,0,0,0,6,2009,WD ,131000
160,2,24.0,2645,1,0,2,1,1,2,1,1,1,1,0,2,8,5,1999,2000,2,1,2,2,1,456.0,4,3,2,4,3,1,6,813.0,1,0.0,147.0,960.0,1,5,1,2,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,2,0,0,1,2000.0,1,2.0,480.0,3,3,2,169,0,0,0,0,0,0,0,0,0,12,2008,0,200000
20,3,74.0,9627,1,1,2,1,1,2,1,1,1,1,1,2,7,5,2007,2007,2,1,3,3,2,0.0,4,3,2,4,3,3,6,24.0,1,0.0,1327.0,1351.0,1,5,1,2,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,2,0,0,5,2007.0,2,2.0,610.0,3,3,2,0,50,0,0,0,0,0,0,0,0,6,2008,WD ,193000
20,3,93.0,10114,1,1,2,1,1,2,1,0,1,1,1,2,5,5,2004,2005,2,1,3,3,2,0.0,3,3,2,5,3,3,1,0.0,1,0.0,1430.0,1430.0,1,5,1,2,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,2,0,0,5,2004.0,2,2.0,624.0,3,3,2,0,0,0,0,0,0,0,0,0,0,3,2010,WD ,173500
70,2,34.0,4571,1,0,2,1,1,2,1,0,1,1,1,2,5,5,1916,1950,2,1,0,0,2,0.0,3,3,1,3,3,1,1,0.0,1,0.0,624.0,624.0,1,2,0,2,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,2,0,0,1,1916.0,1,3.0,513.0,2,2,2,0,0,96,0,0,0,0,0,0,0,5,2008,0,98000
20,3,80.0,8816,1,1,2,1,1,1,1,0,0,1,1,2,5,6,1963,1963,2,1,3,3,2,0.0,3,3,2,3,3,1,3,651.0,1,0.0,470.0,1121.0,1,3,1,2,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,2,0,0,1,1963.0,1,2.0,480.0,3,3,2,0,80,0,0,0,0,0,3,0,0,6,2009,WD ,139000
20,3,71.0,8197,1,1,2,1,1,2,1,0,1,1,1,2,6,5,1977,1977,2,1,1,1,1,148.0,3,3,2,3,3,1,1,0.0,1,0.0,660.0,660.0,1,5,1,2,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,2,1,3,5,1977.0,2,2.0,528.0,3,3,2,138,0,0,0,0,0,0,3,0,0,4,2007,WD ,143500
60,2,72.0,8640,1,1,2,1,1,2,1,1,1,1,1,2,7,5,2009,2009,2,1,3,3,2,0.0,3,3,2,4,3,2,6,24.0,1,0.0,732.0,756.0,1,5,1,2,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,2,0,0,5,2009.0,1,2.0,614.0,3,3,2,169,45,0,0,0,0,0,0,0,0,6,2010,0,215200
20,3,109.0,8724,1,1,2,1,1,2,1,0,1,1,1,2,5,5,1968,1968,2,1,3,3,2,0.0,3,3,2,4,3,1,4,492.0,1,0.0,402.0,894.0,1,4,1,2,894,0,0,894,0.0,0.0,1,0,3,1,3,5,2,1,1,5,1968.0,3,2.0,450.0,3,3,2,0,0,0,0,0,0,0,0,0,0,5,2007,WD ,129000
120,3,40.0,5664,1,1,1,1,1,2,1,1,1,1,1,2,8,5,2000,2000,2,1,0,CmentBd,2,0.0,4,3,2,4,3,1,6,1158.0,1,0.0,343.0,1501.0,1,5,1,2,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,2,1,5,5,2000.0,3,2.0,499.0,3,3,2,212,59,0,0,0,0,0,0,0,0,10,2009,WD ,278000
60,3,103.0,12867,1,1,1,1,1,1,1,NridgHt,1,1,1,2,8,5,2005,2006,2,1,0,CmentBd,2,0.0,4,3,2,5,3,3,1,0.0,1,0.0,1209.0,1209.0,1,5,1,2,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,2,1,4,5,2005.0,3,2.0,575.0,3,3,2,243,142,0,0,0,0,0,0,0,0,7,2006,0,344133
20,3,68.0,7980,1,1,1,1,1,2,1,1,1,1,1,2,6,7,1992,2007,2,1,2,2,2,0.0,3,4,2,4,3,1,5,935.0,1,0.0,233.0,1168.0,1,5,1,2,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,2,0,0,5,1992.0,3,2.0,420.0,3,3,2,483,21,0,0,0,0,0,4,1,500,3,2010,WD ,185000
190,3,100.0,34650,1,1,2,0,1,2,1,1,1,1,0,2,5,5,1955,1955,1,1,1,1,2,0.0,3,3,2,3,3,2,3,1056.0,1,0.0,0.0,1056.0,1,3,0,2,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,2,0,0,5,1955.0,3,2.0,572.0,3,3,2,264,0,0,0,0,0,0,0,0,0,1,2006,WD ,145000
20,3,92.0,10573,1,1,1,1,1,1,1,0,1,1,1,2,6,6,1961,1961,1,1,2,2,1,3.0,3,3,2,3,3,1,3,1312.0,1,0.0,141.0,1453.0,1,5,1,2,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,2,1,3,5,1961.0,2,2.0,530.0,3,3,2,0,49,0,0,288,0,0,4,0,0,4,2009,WD ,187500
20,3,65.0,8450,1,1,2,1,1,2,1,0,0,1,1,2,5,8,1965,2009,2,1,2,2,2,0.0,3,4,2,3,3,1,6,553.0,4,117.0,224.0,894.0,1,5,1,2,894,0,0,894,1.0,0.0,1,0,3,1,3,5,2,1,4,1,1973.0,1,1.0,336.0,3,3,2,416,144,0,0,0,0,0,3,0,0,4,2010,WD ,138500
50,3,68.0,11700,1,0,1,0,1,2,0,0,1,1,1,1,5,6,1937,1995,2,1,0,Wd Shng,2,0.0,3,3,2,3,3,1,4,606.0,1,0.0,336.0,942.0,1,5,1,2,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,1,1,4,1,1937.0,1,1.0,240.0,3,3,2,0,40,0,0,0,0,0,0,0,0,7,2008,WD ,198000
190,1,75.0,8250,1,1,2,1,1,2,1,0,0,1,0,2,5,6,1895,2006,2,1,3,3,2,0.0,3,4,2,3,3,1,1,0.0,1,0.0,957.0,957.0,1,2,0,2,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,2,0,0,0,1980.0,0,0.0,0.0,0,0,0,0,0,133,0,0,0,0,0,0,0,6,2007,WD ,119600
50,3,60.0,8064,1,1,2,1,1,1,1,0,0,1,1,1,5,7,1949,2006,2,1,2,2,2,0.0,3,4,2,3,3,2,1,0.0,1,0.0,672.0,672.0,1,5,1,2,672,252,0,924,0.0,0.0,1,0,3,1,3,6,2,1,1,1,2003.0,1,2.0,576.0,3,3,2,0,0,0,0,0,0,0,3,1,2000,7,2007,WD ,122900
20,3,80.0,9600,1,1,2,1,1,2,1,1,0,1,1,2,8,5,1981,1981,1,0,0,0,2,0.0,4,3,2,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,1,3,1,2,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,2,1,4,5,1981.0,3,2.0,542.0,3,3,2,474,120,0,0,0,0,0,3,0,0,7,2009,WD ,278000
70,3,68.0,11435,1,1,1,0,1,1,0,0,1,1,1,2,8,7,1929,1950,2,1,0,0,2,0.0,3,3,2,4,3,1,1,0.0,1,0.0,792.0,792.0,1,2,1,2,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,2,2,4,1,1931.0,1,2.0,400.0,3,3,2,0,0,0,0,0,0,0,0,0,0,6,2006,WD ,230000
120,3,30.0,9549,1,1,1,1,1,1,1,1,1,1,1,2,8,5,1995,1996,1,1,0,0,2,0.0,4,4,2,4,4,3,2,437.0,6,1057.0,0.0,1494.0,1,5,1,2,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,2,1,4,5,1995.0,3,2.0,481.0,3,3,2,0,30,0,0,216,0,0,0,0,0,4,2006,WD ,270000
20,3,60.0,10950,1,1,2,1,1,2,1,0,1,1,1,2,6,6,1952,1952,1,1,1,1,2,0.0,3,3,2,3,3,1,5,441.0,1,0.0,507.0,948.0,1,3,1,2,948,0,0,948,0.0,0.0,1,0,2,1,3,5,2,0,0,1,1952.0,1,2.0,410.0,3,3,0,0,48,0,0,0,0,0,0,0,0,4,2007,WD ,125000
20,3,79.0,10637,1,1,2,1,1,2,1,1,1,1,1,2,8,5,2007,2008,1,1,3,3,0,336.0,4,3,2,5,3,4,6,1288.0,1,0.0,417.0,1705.0,1,5,1,2,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,2,1,4,5,2007.0,2,3.0,826.0,3,3,2,208,44,0,0,0,0,0,0,0,0,9,2009,WD ,297000
20,3,80.0,9000,1,1,1,0,1,2,0,0,1,1,1,2,6,6,1958,1958,0,0,1,1,1,82.0,3,3,2,4,3,4,1,0.0,1,0.0,160.0,160.0,1,2,1,2,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,2,1,4,4,1958.0,2,1.0,384.0,3,3,2,0,28,64,0,0,0,0,0,0,0,4,2009,WD ,113500
160,2,41.0,2665,1,1,2,1,1,2,1,0,1,1,1,2,5,6,1977,1977,2,1,0,CmentBd,2,0.0,3,3,2,3,3,1,5,548.0,3,173.0,36.0,757.0,1,5,1,2,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,2,1,3,5,1977.0,2,1.0,336.0,3,3,2,104,26,0,0,0,0,0,0,0,0,7,2006,WD ,127000
20,3,105.0,11751,1,1,1,1,1,2,1,1,1,1,1,2,6,6,1977,1977,1,1,1,1,1,480.0,3,3,2,4,3,1,4,705.0,1,0.0,1139.0,1844.0,1,5,1,2,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,2,1,3,5,1977.0,2,2.0,546.0,3,3,2,0,122,0,0,0,0,0,3,0,0,1,2010,0,190000
20,3,80.0,9600,1,1,2,1,1,2,1,1,1,1,1,2,7,6,1973,1973,1,1,2,2,1,320.0,3,3,2,3,3,1,5,916.0,1,0.0,326.0,1242.0,1,2,1,2,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,2,1,3,5,1973.0,1,2.0,528.0,3,3,2,0,0,0,0,0,0,0,0,0,0,9,2007,WD ,175500
20,3,60.0,8428,1,1,0,1,1,2,1,1,1,1,1,2,5,7,1994,1994,2,1,3,3,2,0.0,3,4,2,4,4,1,6,420.0,1,0.0,570.0,990.0,1,5,1,2,990,0,0,990,1.0,0.0,1,0,3,1,3,5,2,0,0,1,1995.0,1,1.0,384.0,3,3,2,256,0,0,0,0,0,0,0,0,0,7,2007,WD ,146000
20,3,75.0,9937,1,1,2,1,1,2,1,0,1,1,1,2,5,6,1965,1965,2,1,2,2,2,0.0,4,3,2,3,3,1,4,830.0,2,290.0,136.0,1256.0,1,4,1,2,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,2,0,0,5,1965.0,3,1.0,276.0,3,3,2,736,68,0,0,0,0,0,0,0,0,6,2008,WD ,147500
20,3,107.0,13891,1,1,2,1,1,2,1,NridgHt,1,1,1,2,10,5,2006,2006,2,1,3,3,2,0.0,5,3,2,5,4,4,6,1386.0,1,0.0,690.0,2076.0,1,5,1,2,2076,0,0,2076,1.0,0.0,2,1,2,1,5,7,2,1,4,5,2006.0,3,3.0,850.0,3,3,2,216,229,0,0,0,0,0,0,0,0,9,2006,0,465000
85,3,68.0,9101,1,1,1,1,1,1,1,0,1,1,1,0,5,6,1978,1978,2,1,1,1,1,104.0,3,4,2,4,3,3,6,1097.0,1,0.0,0.0,1097.0,1,5,1,2,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,2,1,3,5,1978.0,3,2.0,602.0,3,3,2,303,30,0,0,0,0,0,0,0,0,7,2009,WD ,165500
50,2,81.0,12150,1,0,2,1,1,2,1,0,1,1,1,1,5,5,1954,1954,2,1,2,2,1,335.0,3,3,1,3,3,1,1,0.0,1,0.0,1050.0,1050.0,1,5,0,0,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,2,0,0,5,1954.0,1,1.0,352.0,2,3,2,0,0,0,0,0,0,0,0,0,0,11,2008,WD ,131500
20,3,70.0,11200,1,1,2,1,1,2,1,0,1,1,1,2,5,5,1965,1965,1,1,2,2,2,0.0,3,3,2,3,3,1,3,906.0,1,0.0,134.0,1040.0,1,5,1,2,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,2,0,0,1,1965.0,1,1.0,384.0,3,3,2,0,0,0,0,0,0,0,0,0,0,2,2008,WD ,129500
70,3,100.0,9670,1,1,1,0,1,2,0,0,1,1,1,2,8,6,1935,1950,2,1,0,0,0,40.0,3,3,2,3,2,1,2,210.0,1,0.0,398.0,608.0,1,3,1,2,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,2,2,4,1,1935.0,3,2.0,786.0,2,3,2,0,0,207,0,0,0,0,0,0,0,6,2008,WD ,257076
50,3,60.0,10998,1,0,2,1,1,2,1,0,1,1,1,1,5,5,1941,1960,2,1,1,1,2,0.0,3,3,2,3,3,1,2,408.0,4,420.0,156.0,984.0,1,5,1,2,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,1,0,0,1,1977.0,1,2.0,660.0,3,3,2,0,68,0,0,0,0,0,0,0,0,7,2009,WD ,117000
70,3,60.0,7200,1,1,2,0,1,2,0,0,1,1,1,2,7,6,1931,2000,2,1,0,Wd Shng,2,0.0,3,2,1,4,3,1,1,0.0,1,0.0,776.0,776.0,1,3,1,2,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,2,1,4,5,1931.0,2,1.0,270.0,3,3,1,0,0,112,0,0,0,0,3,0,0,2,2008,WD ,149000
20,3,80.0,9920,1,1,2,1,1,2,1,0,1,1,1,2,5,5,1954,1954,2,1,2,2,0,110.0,3,3,2,3,3,1,3,354.0,2,290.0,412.0,1056.0,1,3,1,2,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,2,0,0,5,1954.0,2,1.0,280.0,3,3,2,0,0,164,0,0,0,0,3,0,0,2,2010,WD ,128000
160,3,36.0,2448,1,1,2,1,1,2,1,NridgHt,1,1,0,2,7,5,2003,2004,2,1,3,Wd Shng,0,106.0,4,3,2,4,3,1,1,0.0,1,0.0,764.0,764.0,1,5,1,2,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,2,0,0,3,2003.0,2,2.0,474.0,3,3,2,0,27,0,0,0,0,0,0,0,0,10,2008,WD ,155000
160,2,68.0,2998,1,1,2,1,1,2,1,1,1,1,1,2,6,5,2000,2000,2,1,2,2,1,513.0,4,3,2,4,3,1,6,353.0,1,0.0,403.0,756.0,1,5,1,2,768,756,0,1524,0.0,0.0,2,1,2,1,4,4,2,0,0,1,2000.0,1,2.0,440.0,3,3,2,0,32,0,0,0,0,0,0,0,0,6,2006,WD ,166000
50,3,65.0,7804,1,1,2,1,1,2,1,0,1,1,1,1,4,3,1928,1950,2,1,0,1,2,0.0,3,3,1,3,3,1,4,622.0,1,0.0,500.0,1122.0,1,3,1,2,1328,653,0,1981,1.0,0.0,2,0,4,1,4,7,1,2,3,1,1981.0,1,2.0,576.0,3,3,2,431,44,0,0,0,0,0,3,0,0,12,2009,WD ,135000
60,3,80.0,16692,1,1,1,1,1,2,1,1,0,1,1,2,7,5,1978,1978,2,1,1,1,1,184.0,3,3,2,4,3,1,4,790.0,2,469.0,133.0,1392.0,1,3,1,2,1392,1392,0,2784,1.0,0.0,3,1,5,1,4,12,2,2,3,5,1978.0,2,2.0,564.0,3,3,2,0,112,0,0,440,519,2,3,1,2000,7,2006,WD ,250000
160,2,21.0,1476,1,1,2,1,1,2,1,0,1,1,0,2,4,7,1970,1970,2,1,0,CmentBd,2,0.0,3,3,2,3,3,1,6,176.0,1,0.0,370.0,546.0,1,5,1,2,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,2,0,0,0,1980.0,0,0.0,0.0,0,0,2,200,26,0,0,0,0,0,0,0,0,3,2010,WD ,76000
20,3,75.0,10170,1,1,2,1,1,1,1,0,1,1,1,2,6,6,1951,1951,1,1,1,1,1,522.0,3,3,2,3,3,1,1,0.0,1,0.0,216.0,216.0,1,3,1,2,1575,0,0,1575,0.0,0.0,1,1,2,1,4,5,2,1,4,5,1951.0,1,2.0,400.0,3,3,2,0,0,0,0,0,0,0,0,0,0,6,2006,WD ,155000
60,3,80.0,9364,1,1,2,1,1,1,1,0,1,1,1,2,6,7,1969,1969,2,1,2,2,0,143.0,3,3,2,3,3,1,5,371.0,1,0.0,292.0,663.0,1,3,1,2,663,689,0,1352,0.0,0.0,1,1,4,1,3,7,2,0,0,5,1969.0,3,1.0,299.0,3,3,2,379,36,0,0,0,0,0,3,0,0,3,2010,WD ,158000
160,2,24.0,2544,1,0,2,1,1,2,1,1,1,1,0,2,7,5,2004,2005,2,1,2,2,2,0.0,4,3,2,4,3,1,6,368.0,5,42.0,190.0,600.0,1,5,1,2,600,600,0,1200,1.0,0.0,2,1,2,1,4,4,2,0,0,1,2004.0,2,2.0,480.0,3,3,2,0,172,0,0,0,0,0,0,0,0,2,2010,WD ,149500
20,3,82.0,9888,1,1,2,1,1,2,1,0,1,1,1,2,5,6,1954,1975,2,1,2,2,2,0.0,3,4,2,3,3,1,4,486.0,1,0.0,450.0,936.0,1,3,1,1,936,0,0,936,0.0,0.0,1,0,2,1,3,5,2,0,0,5,1954.0,1,1.0,240.0,3,3,2,0,0,160,0,0,0,0,3,0,0,3,2006,WD ,121000
20,3,68.0,7942,1,1,2,1,1,2,1,0,1,1,1,2,6,7,1953,1953,1,1,1,1,2,0.0,3,3,2,3,3,1,3,85.0,5,955.0,0.0,1040.0,1,3,1,0,1040,0,0,1040,0.0,1.0,1,0,3,1,3,6,2,0,0,5,1953.0,3,1.0,293.0,3,3,2,0,0,0,0,0,0,0,3,0,0,6,2007,WD ,136000
60,3,68.0,15038,1,1,0,1,1,1,1,1,1,1,1,2,6,5,1996,1996,2,1,2,2,2,0.0,3,3,2,4,3,1,3,138.0,1,0.0,778.0,916.0,1,4,1,2,916,720,0,1636,0.0,0.0,2,1,3,1,3,7,2,1,3,5,1996.0,3,2.0,386.0,3,3,2,168,84,0,0,0,0,0,0,0,0,11,2008,WD ,173000
60,3,92.0,11764,1,1,1,1,1,1,1,2,1,1,1,2,8,7,1999,2007,2,1,3,3,1,348.0,4,3,2,4,3,1,6,524.0,1,0.0,628.0,1152.0,1,5,1,2,1164,1106,0,2270,0.0,0.0,2,1,4,1,4,9,2,1,4,5,1999.0,3,3.0,671.0,3,3,2,132,57,0,0,0,0,0,0,0,0,4,2010,WD ,290000
60,2,75.0,9000,1,1,2,1,1,2,1,1,1,1,1,2,8,5,2007,2007,2,1,0,CmentBd,2,0.0,4,3,2,4,3,3,6,64.0,1,0.0,1120.0,1184.0,1,5,1,2,1184,1426,0,2610,0.0,0.0,2,1,4,1,5,11,2,1,4,3,2007.0,3,2.0,550.0,3,3,2,208,364,0,0,0,0,0,0,0,0,8,2007,0,303477
20,3,68.0,20062,1,1,1,0,1,2,0,1,1,1,1,2,7,7,1977,2001,1,1,1,1,2,0.0,4,4,2,4,3,4,5,1092.0,1,0.0,328.0,1420.0,1,4,1,2,1483,0,0,1483,1.0,0.0,1,1,1,1,3,4,2,2,3,5,1977.0,2,2.0,690.0,3,3,2,496,0,0,0,0,0,0,0,0,0,4,2010,WD ,270000
50,2,81.0,7308,1,1,2,1,1,1,1,0,0,1,1,1,5,5,1920,1950,2,1,0,Wd Shng,2,0.0,2,2,1,3,3,1,3,360.0,1,0.0,576.0,936.0,1,4,0,1,960,780,0,1740,0.0,0.0,1,0,2,1,5,6,2,1,4,1,1920.0,1,1.0,225.0,2,2,0,0,0,236,0,0,0,0,0,0,0,6,2008,WD ,122250
20,3,70.0,8750,1,1,2,1,1,2,1,0,1,1,1,2,5,5,1955,1955,2,1,0,0,2,0.0,3,3,2,3,3,1,3,172.0,2,483.0,727.0,1382.0,1,4,1,1,1382,0,0,1382,0.0,1.0,1,0,3,1,4,6,2,0,0,5,1955.0,1,1.0,350.0,3,3,2,280,0,0,0,0,0,0,2,0,0,7,2009,WD ,153000
20,3,70.0,8402,1,1,2,1,1,2,1,0,0,1,1,2,5,5,2007,2007,2,1,3,3,2,0.0,3,3,2,4,3,1,5,206.0,1,0.0,914.0,1120.0,1,5,1,2,1120,0,0,1120,0.0,0.0,1,0,3,1,3,6,2,0,0,0,1980.0,0,0.0,0.0,0,0,2,0,30,0,0,0,0,0,0,0,0,12,2007,0,147000
70,3,63.0,4000,1,1,2,1,1,2,1,0,1,1,1,2,7,8,1930,1995,2,1,1,1,2,0.0,3,3,1,4,3,1,6,246.0,1,0.0,285.0,531.0,1,3,1,2,567,531,0,1098,1.0,0.0,1,0,2,1,3,5,2,1,4,1,1930.0,1,1.0,216.0,3,3,2,0,0,0,0,0,0,0,3,0,0,6,2007,WD ,148500
