,lot_area,utilities,overall_qual,overall_cond,year_built,year_remod/add,exter_qual,exter_cond,bsmt_qual,bsmt_cond,total_bsmt_sf,heating,heating_qc,1st_flr_sf,2nd_flr_sf,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,total_sf,saleprice
15,10114,1,5,5,6,5,3,3,5,3,1430.0,1,5,1430,0,2,0,3,1,4,7,0,1,0,0,0,0,0,0,2860.0,173500
16,4571,1,5,5,94,60,3,3,3,3,624.0,1,2,624,720,1,0,4,1,3,7,0,1,0,0,0,0,0,0,1968.0,98000
17,8816,1,5,6,47,47,3,3,3,3,1121.0,1,3,1121,0,1,0,3,1,3,5,1,0,0,0,0,0,0,0,2242.0,139000
18,8197,1,6,5,33,33,3,3,3,3,660.0,1,5,1285,0,1,1,3,1,3,7,0,1,0,0,0,0,0,0,1945.0,143500
19,8640,1,7,5,1,1,3,3,4,3,756.0,1,5,764,783,2,1,3,1,4,7,0,1,0,0,0,0,0,0,2303.0,215200
20,8724,1,5,5,42,42,3,3,4,3,894.0,1,4,894,0,1,0,3,1,3,5,0,1,0,0,0,0,0,0,1788.0,129000
21,5664,1,8,5,10,10,4,3,4,3,1501.0,1,5,1659,0,2,0,2,1,5,5,0,1,0,0,0,0,0,0,3160.0,278000
22,12867,1,8,5,5,4,4,3,5,3,1209.0,1,5,1209,1044,2,1,3,1,5,8,0,1,0,0,0,0,0,0,3462.0,344133
23,7980,1,6,7,18,3,3,4,4,3,1168.0,1,5,1187,0,2,0,3,1,3,6,0,1,0,0,0,0,0,0,2355.0,185000
24,34650,1,5,5,55,55,3,3,3,3,1056.0,1,3,1056,0,1,0,3,1,3,5,0,1,0,0,0,0,0,0,2112.0,145000
25,10573,1,6,6,49,49,3,3,3,3,1453.0,1,5,1453,0,2,0,3,1,3,6,0,1,0,0,0,0,0,0,2906.0,187500
26,8450,1,5,8,45,1,3,4,3,3,894.0,1,5,894,0,1,0,3,1,3,5,0,0,0,0,1,0,0,0,1788.0,138500
27,11700,1,5,6,73,15,3,3,3,3,942.0,1,5,1265,673,2,0,4,1,4,7,0,1,0,0,0,0,0,0,2880.0,198000
28,8250,1,5,6,115,4,3,4,3,3,957.0,1,2,1034,957,2,0,4,2,3,9,1,0,0,0,0,0,0,0,2948.0,119600
29,8064,1,5,7,61,4,3,4,3,3,672.0,1,5,672,252,1,0,3,1,3,6,0,0,0,0,0,0,0,0,1596.0,122900
30,9600,1,8,5,29,29,4,3,4,3,2524.0,1,3,2524,0,2,1,4,1,4,9,0,0,0,1,0,0,0,0,5048.0,278000
31,11435,1,8,7,81,60,3,3,4,3,792.0,1,2,792,725,1,0,3,1,4,7,0,1,0,0,0,0,0,0,2309.0,230000
32,9549,1,8,5,15,14,4,4,4,4,1494.0,1,5,1494,0,1,1,2,1,5,6,0,1,0,0,0,0,0,0,2988.0,270000
33,10950,1,6,6,58,58,3,3,3,3,948.0,1,3,948,0,1,0,2,1,3,5,0,1,0,0,0,0,0,0,1896.0,125000
34,10637,1,8,5,3,2,4,3,5,3,1705.0,1,5,1718,0,2,0,3,1,4,7,0,1,0,0,0,0,0,0,3423.0,297000
35,9000,1,6,6,52,52,3,3,4,3,160.0,1,2,1142,0,1,0,2,1,3,5,0,1,0,0,0,0,0,0,1302.0,113500
36,2665,1,5,6,33,33,3,3,3,3,757.0,1,5,925,550,2,0,4,1,3,6,0,1,0,0,0,0,0,0,2232.0,127000
37,11751,1,6,6,33,33,3,3,4,3,1844.0,1,5,1844,0,2,0,3,1,3,7,0,1,0,0,0,0,0,0,3688.0,190000
38,9600,1,7,6,37,37,3,3,3,3,1242.0,1,2,1242,0,1,1,3,1,3,6,0,1,0,0,0,0,0,0,2484.0,175500
39,8428,1,5,7,16,16,3,4,4,4,990.0,1,5,990,0,1,0,3,1,3,5,0,1,0,0,0,0,0,0,1980.0,146000
40,9937,1,5,6,45,45,4,3,3,3,1256.0,1,4,1256,0,1,1,3,1,3,6,0,1,0,0,0,0,0,0,2512.0,147500
41,13891,1,10,5,4,4,5,3,5,4,2076.0,1,5,2076,0,2,1,2,1,5,7,0,1,0,0,0,0,0,0,4152.0,465000
42,9101,1,5,6,32,32,3,4,4,3,1097.0,1,5,1110,0,1,0,1,1,4,4,0,1,0,0,0,0,0,0,2207.0,165500
43,12150,1,5,5,56,56,3,3,3,3,1050.0,1,5,1050,745,2,0,4,1,3,7,0,1,0,0,0,0,0,0,2845.0,131500
44,11200,1,5,5,45,45,3,3,3,3,1040.0,1,5,1040,0,1,0,3,1,3,5,0,1,0,0,0,0,0,0,2080.0,129500
45,9670,1,8,6,75,60,3,3,3,2,608.0,1,3,983,890,1,1,4,1,3,9,0,1,0,0,0,0,0,0,2481.0,257076
46,10998,1,5,5,69,50,3,3,3,3,984.0,1,5,984,620,2,0,3,1,3,6,0,1,0,0,0,0,0,0,2588.0,117000
47,7200,1,7,6,79,10,3,2,4,3,776.0,1,3,851,651,1,1,3,1,3,6,0,1,0,0,0,0,0,0,2278.0,149000
48,9920,1,5,5,56,56,3,3,3,3,1056.0,1,3,1063,0,1,0,3,1,3,6,0,1,0,0,0,0,0,0,2119.0,128000
49,2448,1,7,5,7,6,4,3,4,3,764.0,1,5,764,862,2,1,2,1,4,6,0,1,0,0,0,0,0,0,2390.0,155000
50,2998,1,6,5,10,10,4,3,4,3,756.0,1,5,768,756,2,1,2,1,4,4,0,1,0,0,0,0,0,0,2280.0,166000
51,7804,1,4,3,82,60,3,3,3,3,1122.0,1,3,1328,653,2,0,4,1,4,7,0,1,0,0,0,0,0,0,3103.0,135000
52,16692,1,7,5,32,32,3,3,4,3,1392.0,1,3,1392,1392,3,1,5,1,4,12,0,0,0,0,0,1,0,0,4176.0,250000
53,1476,1,4,7,40,40,3,3,3,3,546.0,1,5,546,546,1,1,3,1,3,5,0,1,0,0,0,0,0,0,1638.0,76000
54,10170,1,6,6,59,59,3,3,3,3,216.0,1,3,1575,0,1,1,2,1,4,5,0,1,0,0,0,0,0,0,1791.0,155000
55,9364,1,6,7,41,41,3,3,3,3,663.0,1,3,663,689,1,1,4,1,3,7,0,1,0,0,0,0,0,0,2015.0,158000
56,2544,1,7,5,6,5,4,3,4,3,600.0,1,5,600,600,2,1,2,1,4,4,0,1,0,0,0,0,0,0,1800.0,149500
57,9888,1,5,6,56,35,3,4,3,3,936.0,1,3,936,0,1,0,2,1,3,5,0,1,0,0,0,0,0,0,1872.0,121000
58,7942,1,6,7,57,57,3,3,3,3,1040.0,1,3,1040,0,1,0,3,1,3,6,0,1,0,0,0,0,0,0,2080.0,136000
59,15038,1,6,5,14,14,3,3,4,3,916.0,1,4,916,720,2,1,3,1,3,7,0,1,0,0,0,0,0,0,2552.0,173000
60,11764,1,8,7,11,3,4,3,4,3,1152.0,1,5,1164,1106,2,1,4,1,4,9,0,1,0,0,0,0,0,0,3422.0,290000
61,9000,1,8,5,3,3,4,3,4,3,1184.0,1,5,1184,1426,2,1,4,1,5,11,0,1,0,0,0,0,0,0,3794.0,303477
62,20062,1,7,7,33,9,4,4,4,3,1420.0,1,4,1483,0,1,1,1,1,3,4,0,1,0,0,0,0,0,0,2903.0,270000
63,7308,1,5,5,90,60,2,2,3,3,936.0,1,4,960,780,1,0,2,1,5,6,0,0,0,0,0,0,0,0,2676.0,122250
64,8750,1,5,5,55,55,3,3,3,3,1382.0,1,4,1382,0,1,0,3,1,4,6,0,1,0,0,0,0,0,0,2764.0,153000
65,8402,1,5,5,3,3,3,3,4,3,1120.0,1,5,1120,0,1,0,3,1,3,6,1,0,0,0,0,0,0,0,2240.0,147000
66,4000,1,7,8,80,15,3,3,4,3,531.0,1,3,567,531,1,0,2,1,3,5,0,1,0,0,0,0,0,0,1629.0,148500
67,3363,1,7,5,6,6,4,3,4,3,976.0,1,5,976,732,2,0,3,1,4,7,0,1,0,0,0,0,0,0,2684.0,130000
68,13615,1,9,5,4,4,5,3,5,3,1802.0,1,5,1802,0,2,1,3,1,5,7,0,1,0,0,0,0,0,0,3604.0,372000
69,3013,1,7,5,5,5,4,3,4,3,1362.0,1,5,1506,0,2,0,2,1,4,6,0,1,0,0,0,0,0,0,2868.0,213490
70,17485,1,7,5,1,0,4,3,4,3,1508.0,1,5,1508,0,1,0,1,1,4,5,0,1,0,0,0,0,0,0,3016.0,308030
71,23730,1,7,5,14,13,4,3,5,3,1840.0,1,5,2032,0,3,0,3,1,4,7,0,1,0,0,0,0,0,0,3872.0,300000
72,8910,1,6,6,51,51,3,3,3,3,655.0,1,5,1194,0,1,0,3,1,3,6,0,1,0,0,0,0,0,0,1849.0,159500
73,2522,1,7,5,6,6,4,3,4,3,970.0,1,5,970,739,2,0,3,1,4,7,0,1,0,0,0,0,0,0,2679.0,137500
74,8688,1,7,5,5,5,4,3,4,3,1616.0,1,5,1616,0,2,0,3,1,4,7,0,1,0,0,0,0,0,0,3232.0,232000
75,6291,1,6,6,80,60,4,4,3,3,768.0,1,3,768,0,1,0,1,1,3,4,0,0,0,0,0,0,1,0,1536.0,93850
76,17529,1,5,5,86,60,3,3,3,3,872.0,1,2,872,0,1,0,2,1,2,5,0,1,0,0,0,0,0,0,1744.0,105000
77,6324,1,4,6,83,60,3,3,3,3,520.0,1,2,520,0,1,0,1,1,2,4,1,0,0,0,0,0,0,0,1040.0,68500
78,11600,1,5,5,50,50,3,3,3,3,1105.0,1,3,1105,1169,2,0,5,2,3,12,1,0,0,0,0,0,0,0,3379.0,154300
79,7288,1,5,7,85,7,4,4,3,1,936.0,1,5,936,665,2,0,3,1,3,6,0,0,0,0,0,0,0,0,2537.0,129850
80,4571,1,5,7,100,60,3,3,3,3,616.0,1,5,616,616,1,0,3,1,3,6,0,1,0,0,0,0,0,0,1848.0,114000
81,17423,1,9,5,2,1,5,3,5,3,2216.0,1,5,2234,0,2,0,1,1,5,9,0,1,0,0,0,0,0,0,4450.0,501837
82,12665,1,5,8,95,60,3,3,3,3,876.0,1,4,876,540,1,1,4,1,3,7,0,0,0,0,0,0,0,0,2292.0,153900
83,9000,1,4,7,39,4,3,4,3,3,864.0,1,4,864,0,1,0,3,1,3,5,0,1,0,0,0,0,0,0,1728.0,130000
84,4500,1,6,5,13,13,3,3,5,3,1189.0,1,5,1189,0,2,0,2,1,3,4,0,1,0,0,0,0,0,0,2378.0,160500
85,6373,1,9,5,4,4,5,3,5,4,1666.0,1,5,1666,0,2,0,2,1,4,6,0,1,0,0,0,0,0,0,3332.0,310090
86,10083,1,7,5,7,7,4,3,4,3,1176.0,1,5,1200,0,2,0,2,1,4,5,0,1,0,0,0,0,0,0,2376.0,184900
87,13300,1,5,7,54,10,3,3,4,3,928.0,1,3,928,0,1,0,2,1,3,4,0,1,0,0,0,0,0,0,1856.0,132000
88,9600,1,5,5,41,41,3,3,4,3,1288.0,1,3,1336,0,2,0,3,1,3,6,1,0,0,0,0,0,0,0,2624.0,163000
89,3215,1,7,5,6,6,4,3,4,3,600.0,1,5,600,600,2,1,2,1,4,4,0,1,0,0,0,0,0,0,1800.0,155000
90,11104,1,6,6,41,41,3,3,3,3,1427.0,1,4,1427,0,2,0,4,1,3,7,0,1,0,0,0,0,0,0,2854.0,183000
91,15295,1,7,5,14,8,4,3,4,3,860.0,1,5,1212,780,2,1,3,1,4,7,0,1,0,0,0,0,0,0,2852.0,211000
92,9109,1,7,5,16,16,4,3,4,3,754.0,1,5,754,786,2,1,3,1,4,6,0,0,0,0,1,0,0,0,2294.0,184000
93,7018,1,5,5,31,31,3,3,0,0,0.0,1,3,1535,0,2,0,4,2,3,8,0,1,0,0,0,0,0,0,1535.0,118858
94,14112,1,5,7,46,46,3,3,3,3,1152.0,1,3,1152,0,1,0,3,1,3,6,0,1,0,0,0,0,0,0,2304.0,180500
95,3523,1,8,5,4,3,4,3,4,3,1141.0,1,5,1151,0,2,0,2,1,4,5,0,1,0,0,0,0,0,0,2292.0,166000
96,15312,1,6,5,50,50,3,3,3,3,1138.0,1,5,1138,0,1,0,3,1,3,6,0,1,0,0,0,0,0,0,2276.0,148000
97,7450,1,5,5,54,54,3,3,3,3,894.0,1,4,1074,0,1,0,2,1,4,6,0,1,0,0,0,0,0,0,1968.0,124000
98,7313,1,9,5,5,5,5,3,5,3,1561.0,1,5,1561,0,2,0,2,1,5,6,0,1,0,0,0,0,0,0,3122.0,277500
99,10019,1,8,5,15,15,4,3,4,3,1342.0,1,5,1358,1368,2,1,4,1,4,9,0,1,0,0,0,0,0,0,4068.0,350000
100,15401,1,9,5,6,6,5,3,5,3,1884.0,1,5,1884,0,2,0,2,1,5,7,0,1,0,0,0,0,0,0,3768.0,387000
101,9098,1,4,7,90,8,3,3,3,3,528.0,1,5,605,0,1,0,2,1,3,5,0,1,0,0,0,0,0,0,1133.0,86000
102,16280,1,8,9,34,3,5,5,4,5,1426.0,1,5,1671,0,3,0,3,1,5,6,0,1,0,0,0,0,0,0,3097.0,290000
103,9392,1,3,3,110,60,3,2,2,3,245.0,1,3,797,0,1,0,2,1,3,5,0,1,0,0,0,0,0,0,1042.0,44000
104,12209,1,6,5,9,8,3,3,5,3,804.0,1,5,804,1157,2,1,3,1,4,7,0,1,0,0,0,0,0,0,2765.0,215000
105,13110,1,5,6,38,38,3,3,4,3,1153.0,1,5,1193,0,2,0,2,1,3,6,0,0,0,0,0,1,0,0,2346.0,146500
106,2651,1,7,5,10,10,4,3,4,3,673.0,1,5,673,709,2,1,3,1,4,6,0,1,0,0,0,0,0,0,2055.0,165000
107,8520,1,6,7,94,60,3,4,3,3,714.0,0,3,1664,862,2,0,5,1,4,10,0,0,0,0,0,0,0,0,3240.0,136000
108,39384,1,6,6,53,53,3,3,4,3,1705.0,1,5,1390,0,1,1,1,1,5,4,0,1,0,0,0,0,0,0,3095.0,252000
109,2628,1,7,5,7,7,4,3,4,3,764.0,1,5,764,862,2,1,2,1,4,6,0,1,0,0,0,0,0,0,2390.0,175500
110,6406,1,5,6,71,60,3,3,3,3,690.0,1,3,868,690,1,1,3,1,3,7,0,1,0,0,0,0,0,0,2248.0,150000
111,12342,1,5,5,50,32,3,3,3,3,978.0,1,3,1422,0,1,0,3,1,3,6,0,1,0,0,0,0,0,0,2400.0,139900
112,6240,1,5,7,80,18,3,3,3,3,1078.0,1,3,1128,445,2,0,3,1,3,8,0,1,0,0,0,0,0,0,2651.0,162900
113,10000,1,6,6,48,48,3,3,3,3,1116.0,1,3,1116,0,1,1,3,1,3,5,0,1,0,0,0,0,0,0,2232.0,160000
114,9000,1,2,2,63,60,3,3,0,0,0.0,1,2,660,0,1,0,2,1,2,5,0,1,0,0,0,0,0,0,660.0,63900
115,11088,1,6,5,32,12,3,3,3,3,1140.0,1,4,1707,0,2,0,3,1,3,7,0,1,0,0,0,0,0,0,2847.0,184000
116,17755,1,5,4,51,51,3,3,3,3,1466.0,1,3,1466,0,1,1,3,1,2,6,0,1,0,0,0,0,0,0,2932.0,149900
117,4765,1,9,5,10,10,4,3,4,3,1614.0,1,5,1638,0,2,0,2,1,5,5,0,1,0,0,0,0,0,0,3252.0,300000
118,10532,1,5,3,50,50,3,3,3,3,988.0,1,4,1721,0,2,0,3,1,3,7,0,1,0,0,0,0,0,0,2709.0,145000
119,15426,1,6,5,13,13,3,3,4,3,928.0,1,5,928,836,2,1,3,1,4,7,0,1,0,0,0,0,0,0,2692.0,231500
120,13907,1,5,6,70,41,3,3,3,3,996.0,1,5,996,0,1,0,3,1,3,6,0,1,0,0,0,0,0,0,1992.0,108000
121,8750,1,5,5,54,54,3,3,3,3,1202.0,1,3,1202,0,1,0,3,1,3,6,0,1,0,0,0,0,0,0,2404.0,120000
122,9945,1,5,5,49,49,3,3,3,3,988.0,1,3,988,0,1,0,3,1,3,5,0,1,0,0,0,0,0,0,1976.0,128500
123,8960,1,5,6,83,60,3,3,3,3,1008.0,1,4,1028,0,1,0,2,1,3,5,0,0,0,0,0,0,0,0,2036.0,115000
124,3500,1,5,7,63,60,3,3,3,3,720.0,1,3,720,564,1,1,2,1,3,5,0,1,0,0,0,0,0,0,2004.0,110000
125,24572,1,9,3,33,33,4,4,4,3,994.0,1,3,1599,1345,2,2,3,1,4,9,0,1,0,0,0,0,0,0,3938.0,150000
126,9056,1,8,5,6,6,4,3,5,4,707.0,1,5,707,707,2,1,3,1,4,6,0,1,0,0,0,0,0,0,2121.0,178000
127,12320,1,7,7,78,20,3,3,3,3,637.0,1,5,959,650,1,1,3,1,4,8,0,1,0,0,0,0,0,0,2246.0,199500
128,8238,1,6,5,13,12,3,3,3,3,813.0,1,5,813,712,2,1,3,1,3,6,0,1,0,0,0,0,0,0,2338.0,183500
129,6000,1,5,5,43,43,2,3,4,3,624.0,1,5,1092,564,1,1,3,1,3,7,0,1,0,0,0,0,0,0,2280.0,126000
130,2529,1,7,6,33,33,3,3,4,3,1055.0,1,2,1055,0,2,0,2,1,3,4,0,1,0,0,0,0,0,0,2110.0,148500
131,10800,1,5,7,71,4,3,4,3,3,676.0,1,5,676,676,2,0,4,1,4,7,0,1,0,0,0,0,0,0,2028.0,149000
132,2349,1,6,5,33,33,3,3,4,3,855.0,1,3,855,601,2,1,3,1,3,6,0,1,0,0,0,0,0,0,2311.0,137900
133,10846,1,8,5,17,17,4,3,4,3,1719.0,1,5,1719,0,1,1,1,1,4,6,0,1,0,0,0,0,0,0,3438.0,324000
134,5604,1,5,6,85,60,3,3,3,3,864.0,1,3,864,0,1,0,2,1,3,5,0,1,0,0,0,0,0,0,1728.0,98000
135,1680,1,6,5,37,37,3,3,3,3,483.0,1,3,483,504,1,1,2,1,3,5,0,1,0,0,0,0,0,0,1470.0,103400
136,6342,1,5,8,135,14,3,4,3,3,780.0,1,4,780,240,1,0,2,1,3,6,1,0,0,0,0,0,0,0,1800.0,94000
137,4590,1,8,5,4,4,4,3,4,4,1554.0,1,5,1554,0,2,0,2,1,4,6,0,1,0,0,0,0,0,0,3108.0,209500
138,18062,1,10,5,4,4,5,3,5,3,1528.0,1,5,1528,1862,3,1,5,1,5,10,0,1,0,0,0,0,0,0,4918.0,545224
139,12900,1,6,8,98,1,4,4,3,3,780.0,1,5,780,780,1,1,3,1,4,7,0,1,0,0,0,0,0,0,2340.0,159900
140,19138,1,4,5,59,59,3,3,3,3,864.0,1,5,864,0,1,0,2,1,3,4,0,1,0,0,0,0,0,0,1728.0,141000
141,8658,1,6,5,10,10,3,3,4,3,982.0,1,5,1008,881,2,1,3,1,3,9,0,1,0,0,0,0,0,0,2871.0,215000
142,6897,1,5,8,48,0,3,4,3,3,1040.0,1,5,1040,0,1,1,3,1,3,6,0,1,0,0,0,0,0,0,2080.0,127000
143,9525,1,5,7,56,12,3,3,3,3,1172.0,1,3,1172,0,1,0,3,1,3,5,0,1,0,0,0,0,0,0,2344.0,128000
144,12853,1,8,5,0,0,4,3,5,1,1642.0,1,5,1418,0,1,1,1,1,4,6,0,1,0,0,0,0,0,0,3060.0,267916
145,6240,1,6,6,79,60,3,3,3,2,884.0,1,3,959,408,1,0,3,1,3,6,0,1,0,0,0,0,0,0,2251.0,127500
146,7301,1,7,5,7,7,4,3,0,0,0.0,1,5,495,1427,3,0,4,1,4,7,0,1,0,0,0,0,0,0,1922.0,198500
147,12090,1,6,6,29,29,3,4,4,3,1422.0,1,3,1422,0,2,0,3,1,4,7,0,1,0,0,0,0,0,0,2844.0,175500
148,8826,1,7,5,10,10,4,3,4,3,985.0,1,5,985,857,2,1,3,1,4,7,0,1,0,0,0,0,0,0,2827.0,217500
149,8094,1,4,5,95,60,3,2,3,3,888.0,1,5,888,1074,1,1,4,1,3,9,0,1,0,0,0,0,0,0,2850.0,149500
150,10710,1,5,7,44,6,4,3,3,3,864.0,1,5,1120,0,1,0,3,1,3,5,0,1,0,0,0,0,0,0,1984.0,148800
151,16056,1,9,5,5,4,4,3,5,3,1992.0,1,5,1992,876,3,1,4,1,5,11,0,1,0,0,0,0,0,0,4860.0,556581
152,8400,1,6,3,53,53,3,3,3,3,1478.0,1,4,1478,0,1,1,3,1,3,6,0,1,0,0,0,0,0,0,2956.0,156500
153,11250,1,7,5,15,14,4,4,4,4,930.0,1,5,950,1045,2,1,4,1,4,8,0,1,0,0,0,0,0,0,2925.0,237000
154,7535,1,5,7,52,25,3,3,3,3,912.0,1,2,912,0,1,0,2,1,3,5,0,1,0,0,0,0,0,0,1824.0,120000
155,12216,1,6,5,5,5,3,3,4,3,1326.0,1,5,1326,0,2,0,3,1,4,6,0,1,0,0,0,0,0,0,2652.0,203000
156,3701,1,8,5,23,23,3,3,4,3,1191.0,1,3,1204,0,2,0,2,1,3,5,0,1,0,0,0,0,0,0,2395.0,130000
157,9760,1,6,6,46,46,3,3,3,3,780.0,1,3,798,813,1,1,4,1,3,7,0,1,0,0,0,0,0,0,2391.0,167900
158,9873,1,4,5,40,40,3,3,3,3,960.0,0,3,960,0,1,0,3,1,3,6,0,0,0,0,0,1,0,0,1920.0,129000
159,10011,1,5,6,53,14,3,3,3,3,1070.0,1,3,1236,0,1,0,2,1,4,6,0,1,0,0,0,0,0,0,2306.0,134450
160,25339,1,5,7,92,3,3,4,3,3,816.0,1,5,1416,0,2,0,3,1,4,7,0,1,0,0,0,0,0,0,2232.0,112000
161,8883,1,7,5,22,22,4,3,4,3,929.0,1,5,946,927,2,1,3,1,4,7,0,1,0,0,0,0,0,0,2802.0,207000
162,3000,1,5,1,88,60,3,3,3,2,1040.0,1,3,1088,1040,2,0,4,2,3,11,0,1,0,0,0,0,0,0,3168.0,62500
163,2448,1,7,5,7,6,4,3,4,3,764.0,1,5,764,862,2,1,2,1,4,6,0,1,0,0,0,0,0,0,2390.0,154000
164,7100,1,5,7,53,53,3,3,3,3,816.0,1,3,816,0,1,0,2,1,3,5,0,1,0,0,0,0,0,0,1632.0,129900
165,2592,1,5,3,34,34,3,3,4,3,536.0,1,3,536,576,1,1,3,1,3,4,0,1,0,0,0,0,0,0,1648.0,85000
166,5700,1,7,7,84,60,3,3,3,3,572.0,1,3,572,539,1,0,2,1,3,5,0,1,0,0,0,0,0,0,1683.0,116900
167,2289,1,6,6,32,32,3,3,3,3,855.0,1,3,855,586,2,1,3,1,3,7,0,1,0,0,0,0,0,0,2296.0,148500
168,12180,1,4,4,69,60,3,2,4,3,672.0,0,2,672,252,1,0,2,1,2,5,0,1,0,0,0,0,0,0,1596.0,80000
169,7400,1,5,5,26,26,3,3,4,3,1060.0,1,3,1126,0,1,0,2,1,3,5,0,1,0,0,0,0,0,0,2186.0,152000
170,8842,1,5,6,56,56,3,4,2,3,381.0,1,5,992,0,1,0,3,1,3,6,0,1,0,0,0,0,0,0,1373.0,155891
171,8850,1,6,7,90,60,3,4,3,3,768.0,1,5,752,624,1,0,3,1,4,7,0,1,0,0,0,0,0,0,2144.0,165000
172,9215,1,7,5,1,0,4,3,4,3,1218.0,1,5,1218,0,2,0,2,1,4,4,0,1,0,0,0,0,0,0,2436.0,204500
173,9480,1,5,7,68,15,3,3,3,3,728.0,1,5,888,756,1,1,3,1,4,7,0,0,0,0,0,0,0,0,2372.0,146500
174,11880,1,7,5,32,32,3,3,4,3,1271.0,1,3,1601,0,2,0,3,1,3,7,0,0,0,0,0,1,0,0,2872.0,157000
175,10800,1,7,7,120,11,3,3,3,3,1313.0,0,4,1313,1182,2,0,5,1,3,10,0,1,0,0,0,0,0,0,3808.0,184000
176,7861,1,6,5,8,7,4,3,4,3,783.0,1,5,807,702,2,1,3,1,4,7,0,1,0,0,0,0,0,0,2292.0,183200
177,11616,1,5,5,48,48,3,3,3,3,1092.0,1,3,1092,0,1,0,3,1,3,6,0,1,0,0,0,0,0,0,2184.0,139000
178,10542,1,7,5,17,16,4,3,4,3,1311.0,1,5,1325,1093,2,1,3,1,4,9,0,1,0,0,0,0,0,0,3729.0,341000
179,1680,1,6,5,39,39,3,3,3,3,483.0,1,3,483,504,1,1,2,1,3,5,0,1,0,0,0,0,0,0,1470.0,96000
180,8546,1,4,5,7,6,3,3,4,3,1121.0,1,5,1121,0,2,0,2,1,3,5,0,1,0,0,0,0,0,0,2242.0,140000
181,7407,1,6,7,53,14,3,3,3,3,912.0,1,3,1236,0,1,0,2,1,3,6,0,0,0,0,0,0,0,0,2148.0,149700
182,10140,1,5,6,35,35,3,3,4,3,1056.0,1,5,1074,0,1,1,3,1,3,6,0,1,0,0,0,0,0,0,2130.0,153500
183,14584,1,1,5,58,58,2,1,0,0,0.0,0,1,733,0,1,0,2,1,2,4,0,1,0,0,0,0,0,0,733.0,13100
184,8158,1,7,5,7,7,4,3,4,3,884.0,1,5,884,884,2,1,3,1,4,8,0,1,0,0,0,0,0,0,2652.0,224900
185,7500,1,7,5,5,5,4,3,4,3,1257.0,1,5,1266,0,2,0,3,1,4,6,0,1,0,0,0,0,0,0,2523.0,176000
186,10678,1,8,5,18,10,4,3,4,3,1683.0,1,5,2129,743,2,1,4,1,4,9,0,1,0,0,0,0,0,0,4555.0,285000
