,lot_frontage,lot_area,street,utilities,overall_qual,overall_cond,year_built,year_remod/add,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,total_bsmt_sf,heating,heating_qc,1st_flr_sf,2nd_flr_sf,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,garage_yr_blt,garage_area,garage_qual,garage_cond,pool_area,pool_qc,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,paved_drive_P,paved_drive_Y,total_sf,overall_score,exter_score,bsmt_score,garage_score,saleprice
35,80.0,9000,1,1,6,6,52,52,3,3,4,3,4,160.0,1,2,1142,0,1,0,2,1,3,5,1958.0,384.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1302.0,36,9,12,9,113500
36,41.0,2665,1,1,5,6,33,33,3,3,3,3,1,757.0,1,5,925,550,2,0,4,1,3,6,1977.0,336.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2232.0,30,9,9,9,127000
37,105.0,11751,1,1,6,6,33,33,3,3,4,3,1,1844.0,1,5,1844,0,2,0,3,1,3,7,1977.0,546.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3688.0,36,9,12,9,190000
38,80.0,9600,1,1,7,6,37,37,3,3,3,3,1,1242.0,1,2,1242,0,1,1,3,1,3,6,1973.0,528.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2484.0,42,9,9,9,175500
39,60.0,8428,1,1,5,7,16,16,3,4,4,4,1,990.0,1,5,990,0,1,0,3,1,3,5,1995.0,384.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1980.0,35,12,16,9,146000
40,75.0,9937,1,1,5,6,45,45,4,3,3,3,1,1256.0,1,4,1256,0,1,1,3,1,3,6,1965.0,276.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2512.0,30,12,9,9,147500
41,107.0,13891,1,1,10,5,4,4,5,3,5,4,4,2076.0,1,5,2076,0,2,1,2,1,5,7,2006.0,850.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4152.0,50,15,20,9,465000
42,0.0,9101,1,1,5,6,32,32,3,4,4,3,3,1097.0,1,5,1110,0,1,0,1,1,4,4,1978.0,602.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2207.0,30,12,12,9,165500
43,81.0,12150,1,1,5,5,56,56,3,3,3,3,1,1050.0,1,5,1050,745,2,0,4,1,3,7,1954.0,352.0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2845.0,25,9,9,6,131500
44,70.0,11200,1,1,5,5,45,45,3,3,3,3,1,1040.0,1,5,1040,0,1,0,3,1,3,5,1965.0,384.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2080.0,25,9,9,9,129500
45,100.0,9670,1,1,8,6,75,60,3,3,3,2,1,608.0,1,3,983,890,1,1,4,1,3,9,1935.0,786.0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2481.0,48,9,6,6,257076
46,60.0,10998,1,1,5,5,69,50,3,3,3,3,1,984.0,1,5,984,620,2,0,3,1,3,6,1977.0,660.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2588.0,25,9,9,9,117000
47,60.0,7200,1,1,7,6,79,10,3,2,4,3,1,776.0,1,3,851,651,1,1,3,1,3,6,1931.0,270.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2278.0,42,6,12,9,149000
48,80.0,9920,1,1,5,5,56,56,3,3,3,3,1,1056.0,1,3,1063,0,1,0,3,1,3,6,1954.0,280.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2119.0,25,9,9,9,128000
49,36.0,2448,1,1,7,5,7,6,4,3,4,3,1,764.0,1,5,764,862,2,1,2,1,4,6,2003.0,474.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2390.0,35,12,12,9,155000
50,0.0,2998,1,1,6,5,10,10,4,3,4,3,1,756.0,1,5,768,756,2,1,2,1,4,4,2000.0,440.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2280.0,30,12,12,9,166000
51,65.0,7804,1,1,4,3,82,60,3,3,3,3,1,1122.0,1,3,1328,653,2,0,4,1,4,7,1981.0,576.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3103.0,12,9,9,9,135000
52,80.0,16692,1,1,7,5,32,32,3,3,4,3,1,1392.0,1,3,1392,1392,3,1,5,1,4,12,1978.0,564.0,3,3,519,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4176.0,35,9,12,9,250000
53,21.0,1476,1,1,4,7,40,40,3,3,3,3,1,546.0,1,5,546,546,1,1,3,1,3,5,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1638.0,28,9,9,0,76000
54,75.0,10170,1,1,6,6,59,59,3,3,3,3,1,216.0,1,3,1575,0,1,1,2,1,4,5,1951.0,400.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1791.0,36,9,9,9,155000
55,80.0,9364,1,1,6,7,41,41,3,3,3,3,1,663.0,1,3,663,689,1,1,4,1,3,7,1969.0,299.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015.0,42,9,9,9,158000
56,24.0,2544,1,1,7,5,6,5,4,3,4,3,1,600.0,1,5,600,600,2,1,2,1,4,4,2004.0,480.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1800.0,35,12,12,9,149500
57,82.0,9888,1,1,5,6,56,35,3,4,3,3,1,936.0,1,3,936,0,1,0,2,1,3,5,1954.0,240.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1872.0,30,12,9,9,121000
58,68.0,7942,1,1,6,7,57,57,3,3,3,3,1,1040.0,1,3,1040,0,1,0,3,1,3,6,1953.0,293.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2080.0,42,9,9,9,136000
59,0.0,15038,1,1,6,5,14,14,3,3,4,3,1,916.0,1,4,916,720,2,1,3,1,3,7,1996.0,386.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2552.0,30,9,12,9,173000
60,92.0,11764,1,1,8,7,11,3,4,3,4,3,1,1152.0,1,5,1164,1106,2,1,4,1,4,9,1999.0,671.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3422.0,56,12,12,9,290000
61,75.0,9000,1,1,8,5,3,3,4,3,4,3,3,1184.0,1,5,1184,1426,2,1,4,1,5,11,2007.0,550.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3794.0,40,12,12,9,303477
62,0.0,20062,1,1,7,7,33,9,4,4,4,3,4,1420.0,1,4,1483,0,1,1,1,1,3,4,1977.0,690.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2903.0,49,16,12,9,270000
63,81.0,7308,1,1,5,5,90,60,2,2,3,3,1,936.0,1,4,960,780,1,0,2,1,5,6,1920.0,225.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2676.0,25,4,9,4,122250
64,70.0,8750,1,1,5,5,55,55,3,3,3,3,1,1382.0,1,4,1382,0,1,0,3,1,4,6,1955.0,350.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2764.0,25,9,9,9,153000
65,70.0,8402,1,1,5,5,3,3,3,3,4,3,1,1120.0,1,5,1120,0,1,0,3,1,3,6,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2240.0,25,9,12,0,147000
66,63.0,4000,1,1,7,8,80,15,3,3,4,3,1,531.0,1,3,567,531,1,0,2,1,3,5,1930.0,216.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1629.0,56,9,12,9,148500
67,32.0,3363,1,1,7,5,6,6,4,3,4,3,1,976.0,1,5,976,732,2,0,3,1,4,7,2004.0,380.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2684.0,35,12,12,9,130000
68,94.0,13615,1,1,9,5,4,4,5,3,5,3,4,1802.0,1,5,1802,0,2,1,3,1,5,7,2006.0,843.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3604.0,45,15,15,9,372000
69,43.0,3013,1,1,7,5,5,5,4,3,4,3,4,1362.0,1,5,1506,0,2,0,2,1,4,6,2005.0,440.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2868.0,35,12,12,9,213490
70,44.0,17485,1,1,7,5,1,0,4,3,4,3,4,1508.0,1,5,1508,0,1,0,1,1,4,5,2009.0,572.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3016.0,35,12,12,9,308030
71,0.0,23730,1,1,7,5,14,13,4,3,5,3,2,1840.0,1,5,2032,0,3,0,3,1,4,7,1996.0,786.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3872.0,35,12,15,9,300000
72,79.0,8910,1,1,6,6,51,51,3,3,3,3,2,655.0,1,5,1194,0,1,0,3,1,3,6,1954.0,539.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1849.0,36,9,9,9,159500
73,24.0,2522,1,1,7,5,6,6,4,3,4,3,1,970.0,1,5,970,739,2,0,3,1,4,7,2004.0,380.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2679.0,35,12,12,9,137500
74,73.0,8688,1,1,7,5,5,5,4,3,4,3,3,1616.0,1,5,1616,0,2,0,3,1,4,7,2005.0,834.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3232.0,35,12,12,9,232000
75,0.0,6291,0,1,6,6,80,60,4,4,3,3,1,768.0,1,3,768,0,1,0,1,1,3,4,1930.0,440.0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1536.0,36,16,9,9,93850
76,0.0,17529,1,1,5,5,86,60,3,3,3,3,1,872.0,1,2,872,0,1,0,2,1,2,5,1924.0,322.0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1744.0,25,9,9,4,105000
77,60.0,6324,1,1,4,6,83,60,3,3,3,3,1,520.0,1,2,520,0,1,0,1,1,2,4,1920.0,240.0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1040.0,24,9,9,6,68500
78,80.0,11600,1,1,5,5,50,50,3,3,3,3,1,1105.0,1,3,1105,1169,2,0,5,2,3,12,1960.0,480.0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3379.0,25,9,9,9,154300
79,50.0,7288,1,1,5,7,85,7,4,4,3,1,1,936.0,1,5,936,665,2,0,3,1,3,6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2537.0,35,16,3,0,129850
80,35.0,4571,1,1,5,7,100,60,3,3,3,3,1,616.0,1,5,616,616,1,0,3,1,3,6,1920.0,480.0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1848.0,35,9,9,4,114000
81,63.0,17423,1,1,9,5,2,1,5,3,5,3,1,2216.0,1,5,2234,0,2,0,1,1,5,9,2009.0,1166.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4450.0,45,15,15,9,501837
82,100.0,12665,1,1,5,8,95,60,3,3,3,3,2,876.0,1,4,876,540,1,1,4,1,3,7,1949.0,720.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2292.0,40,9,9,9,153900
83,60.0,9000,1,1,4,7,39,4,3,4,3,3,1,864.0,1,4,864,0,1,0,3,1,3,5,1986.0,576.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1728.0,28,12,9,9,130000
84,32.0,4500,1,1,6,5,13,13,3,3,5,3,1,1189.0,1,5,1189,0,2,0,2,1,3,4,1997.0,392.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2378.0,30,9,15,9,160500
85,48.0,6373,1,1,9,5,4,4,5,3,5,4,1,1666.0,1,5,1666,0,2,0,2,1,4,6,2006.0,575.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3332.0,45,15,20,9,310090
86,67.0,10083,1,1,7,5,7,7,4,3,4,3,1,1176.0,1,5,1200,0,2,0,2,1,4,5,2003.0,555.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2376.0,35,12,12,9,184900
87,70.0,13300,1,1,5,7,54,10,3,3,4,3,1,928.0,1,3,928,0,1,0,2,1,3,4,1956.0,252.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1856.0,35,9,12,9,132000
88,80.0,9600,1,1,5,5,41,41,3,3,4,3,2,1288.0,1,3,1336,0,2,0,3,1,3,6,1969.0,502.0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2624.0,25,9,12,9,163000
89,30.0,3215,1,1,7,5,6,6,4,3,4,3,3,600.0,1,5,600,600,2,1,2,1,4,4,2004.0,480.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1800.0,35,12,12,9,155000
90,0.0,11104,1,1,6,6,41,41,3,3,3,3,3,1427.0,1,4,1427,0,2,0,4,1,3,7,1969.0,516.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2854.0,36,9,9,9,183000
91,0.0,15295,1,1,7,5,14,8,4,3,4,3,2,860.0,1,5,1212,780,2,1,3,1,4,7,1996.0,608.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2852.0,35,12,12,9,211000
92,70.0,9109,1,1,7,5,16,16,4,3,4,3,1,754.0,1,5,754,786,2,1,3,1,4,6,1994.0,495.0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2294.0,35,12,12,9,184000
93,64.0,7018,1,1,5,5,31,31,3,3,0,0,0,0.0,1,3,1535,0,2,0,4,2,3,8,1979.0,400.0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1535.0,25,9,0,9,118858
94,0.0,14112,1,1,5,7,46,46,3,3,3,3,3,1152.0,1,3,1152,0,1,0,3,1,3,6,1964.0,484.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2304.0,35,9,9,9,180500
95,80.0,3523,1,1,8,5,4,3,4,3,4,3,1,1141.0,1,5,1151,0,2,0,2,1,4,5,2006.0,484.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2292.0,40,12,12,9,166000
96,88.0,15312,1,1,6,5,50,50,3,3,3,3,3,1138.0,1,5,1138,0,1,0,3,1,3,6,1960.0,480.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2276.0,30,9,9,9,148000
97,74.0,7450,1,1,5,5,54,54,3,3,3,3,1,894.0,1,4,1074,0,1,0,2,1,4,6,1966.0,396.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1968.0,25,9,9,9,124000
98,60.0,7313,1,1,9,5,5,5,5,3,5,3,1,1561.0,1,5,1561,0,2,0,2,1,5,6,2005.0,556.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3122.0,45,15,15,9,277500
99,83.0,10019,1,1,8,5,15,15,4,3,4,3,1,1342.0,1,5,1358,1368,2,1,4,1,4,9,1995.0,725.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4068.0,40,12,12,9,350000
100,53.0,15401,1,1,9,5,6,6,5,3,5,3,4,1884.0,1,5,1884,0,2,0,2,1,5,7,2004.0,670.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3768.0,45,15,15,9,387000
101,58.0,9098,1,1,4,7,90,8,3,3,3,3,2,528.0,1,5,605,0,1,0,2,1,3,5,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1133.0,28,9,9,0,86000
102,103.0,16280,1,1,8,9,34,3,5,5,4,5,2,1426.0,1,5,1671,0,3,0,3,1,5,6,1976.0,550.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3097.0,72,25,20,9,290000
103,72.0,9392,1,1,3,3,110,60,3,2,2,3,1,245.0,1,3,797,0,1,0,2,1,3,5,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1042.0,9,6,6,0,44000
104,71.0,12209,1,1,6,5,9,8,3,3,5,3,1,804.0,1,5,804,1157,2,1,3,1,4,7,2001.0,560.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2765.0,30,9,15,9,215000
105,79.0,13110,1,1,5,6,38,38,3,3,4,3,1,1153.0,1,5,1193,0,2,0,2,1,3,6,1972.0,501.0,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2346.0,30,9,12,9,146500
106,0.0,2651,1,1,7,5,10,10,4,3,4,3,1,673.0,1,5,673,709,2,1,3,1,4,6,2000.0,490.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2055.0,35,12,12,9,165000
107,60.0,8520,1,1,6,7,94,60,3,4,3,3,1,714.0,0,3,1664,862,2,0,5,1,4,10,1916.0,216.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3240.0,42,12,9,9,136000
108,0.0,39384,1,1,6,6,53,53,3,3,4,3,4,1705.0,1,5,1390,0,1,1,1,1,5,4,1957.0,550.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3095.0,36,9,12,9,252000
109,36.0,2628,1,1,7,5,7,7,4,3,4,3,1,764.0,1,5,764,862,2,1,2,1,4,6,2003.0,474.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2390.0,35,12,12,9,175500
110,57.0,6406,1,1,5,6,71,60,3,3,3,3,1,690.0,1,3,868,690,1,1,3,1,3,7,1939.0,400.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2248.0,30,9,9,9,150000
111,0.0,12342,1,1,5,5,50,32,3,3,3,3,1,978.0,1,3,1422,0,1,0,3,1,3,6,1960.0,286.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2400.0,25,9,9,9,139900
112,52.0,6240,1,1,5,7,80,18,3,3,3,3,1,1078.0,1,3,1128,445,2,0,3,1,3,8,1930.0,360.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2651.0,35,9,9,9,162900
