,overall_qual,gr_liv_area,garage_area,garage_cars,total_bsmt_sf,1st_flr_sf,year_built,year_remod/add,garage_yr_blt,mas_vnr_area,totrms_abvgrd,fireplaces,bsmtfin_sf_1,lot_frontage,open_porch_sf,wood_deck_sf,lot_area,bsmt_full_bath,half_bath,2nd_flr_sf,full_bath_1,full_bath_2,full_bath_3,full_bath_4,total_sf_dom,lot_minus_total,saleprice
20,5,894,450.0,2.0,894.0,894,42,42,1968.0,0.0,5,1,492.0,109.0,0,0,8724,0.0,0,0,1,0,0,0,1386.0,7338.0,129000
21,8,1659,499.0,2.0,1501.0,1659,10,10,2000.0,0.0,5,1,1158.0,40.0,59,212,5664,1.0,0,0,0,1,0,0,2817.0,2847.0,278000
22,8,2253,575.0,2.0,1209.0,1209,5,4,2005.0,0.0,8,1,0.0,103.0,142,243,12867,0.0,1,1044,0,1,0,0,2253.0,10614.0,344133
23,6,1187,420.0,2.0,1168.0,1187,18,3,1992.0,0.0,6,0,935.0,0.0,21,483,7980,1.0,0,0,0,1,0,0,2122.0,5858.0,185000
24,5,1056,572.0,2.0,1056.0,1056,55,55,1955.0,0.0,5,0,1056.0,100.0,0,264,34650,1.0,0,0,1,0,0,0,2112.0,32538.0,145000
25,6,1453,530.0,2.0,1453.0,1453,49,49,1961.0,3.0,6,1,1312.0,92.0,49,0,10573,1.0,0,0,0,1,0,0,2765.0,7808.0,187500
26,5,894,336.0,1.0,894.0,894,45,1,1973.0,0.0,5,1,553.0,65.0,144,416,8450,1.0,0,0,1,0,0,0,1447.0,7003.0,138500
27,5,1938,240.0,1.0,942.0,1265,73,15,1937.0,0.0,7,1,606.0,0.0,40,0,11700,0.0,0,673,0,1,0,0,2544.0,9156.0,198000
28,5,1991,0.0,0.0,957.0,1034,115,4,0.0,0.0,9,0,0.0,75.0,0,0,8250,0.0,0,957,0,1,0,0,1991.0,6259.0,119600
29,5,924,576.0,2.0,672.0,672,61,4,2003.0,0.0,6,1,0.0,60.0,0,0,8064,0.0,0,252,1,0,0,0,924.0,7140.0,122900
30,8,2524,542.0,2.0,2524.0,2524,29,29,1981.0,0.0,9,1,1104.0,80.0,120,474,9600,1.0,1,0,0,1,0,0,3628.0,5972.0,278000
31,8,1517,400.0,2.0,792.0,792,81,60,1931.0,0.0,7,2,0.0,0.0,0,0,11435,0.0,0,725,1,0,0,0,1517.0,9918.0,230000
32,8,1494,481.0,2.0,1494.0,1494,15,14,1995.0,0.0,6,1,437.0,30.0,30,0,9549,1.0,1,0,1,0,0,0,1931.0,7618.0,270000
33,6,948,410.0,2.0,948.0,948,58,58,1952.0,0.0,5,0,441.0,60.0,48,0,10950,0.0,0,0,1,0,0,0,1389.0,9561.0,125000
34,8,1718,826.0,3.0,1705.0,1718,3,2,2007.0,336.0,7,1,1288.0,79.0,44,208,10637,1.0,0,0,0,1,0,0,3006.0,7631.0,297000
35,6,1142,384.0,1.0,160.0,1142,52,52,1958.0,82.0,5,1,0.0,80.0,28,0,9000,0.0,0,0,1,0,0,0,1142.0,7858.0,113500
36,5,1475,336.0,1.0,757.0,925,33,33,1977.0,0.0,6,1,548.0,41.0,26,104,2665,0.0,0,550,0,1,0,0,2023.0,642.0,127000
37,6,1844,546.0,2.0,1844.0,1844,33,33,1977.0,480.0,7,1,705.0,105.0,122,0,11751,0.0,0,0,0,1,0,0,2549.0,9202.0,190000
38,7,1242,528.0,2.0,1242.0,1242,37,37,1973.0,320.0,6,1,916.0,80.0,0,0,9600,0.0,1,0,1,0,0,0,2158.0,7442.0,175500
39,5,990,384.0,1.0,990.0,990,16,16,1995.0,0.0,5,0,420.0,60.0,0,256,8428,1.0,0,0,1,0,0,0,1410.0,7018.0,146000
40,5,1256,276.0,1.0,1256.0,1256,45,45,1965.0,0.0,6,0,830.0,75.0,68,736,9937,1.0,1,0,1,0,0,0,2086.0,7851.0,147500
41,10,2076,850.0,3.0,2076.0,2076,4,4,2006.0,0.0,7,1,1386.0,107.0,229,216,13891,1.0,1,0,0,1,0,0,3462.0,10429.0,465000
42,5,1110,602.0,2.0,1097.0,1110,32,32,1978.0,104.0,4,1,1097.0,0.0,30,303,9101,1.0,0,0,1,0,0,0,2207.0,6894.0,165500
43,5,1795,352.0,1.0,1050.0,1050,56,56,1954.0,335.0,7,0,0.0,81.0,0,0,12150,0.0,0,745,0,1,0,0,1795.0,10355.0,131500
44,5,1040,384.0,1.0,1040.0,1040,45,45,1965.0,0.0,5,0,906.0,70.0,0,0,11200,1.0,0,0,1,0,0,0,1946.0,9254.0,129500
45,8,1873,786.0,2.0,608.0,983,75,60,1935.0,40.0,9,2,210.0,100.0,0,0,9670,0.0,1,890,1,0,0,0,2083.0,7587.0,257076
46,5,1604,660.0,2.0,984.0,984,69,50,1977.0,0.0,6,0,408.0,60.0,68,0,10998,0.0,0,620,0,1,0,0,2012.0,8986.0,117000
47,7,1502,270.0,1.0,776.0,851,79,10,1931.0,0.0,6,1,0.0,60.0,0,0,7200,0.0,1,651,1,0,0,0,1502.0,5698.0,149000
48,5,1063,280.0,1.0,1056.0,1063,56,56,1954.0,110.0,6,0,354.0,80.0,0,0,9920,1.0,0,0,1,0,0,0,1417.0,8503.0,128000
49,7,1626,474.0,2.0,764.0,764,7,6,2003.0,106.0,6,0,0.0,36.0,27,0,2448,0.0,1,862,0,1,0,0,1626.0,822.0,155000
50,6,1524,440.0,2.0,756.0,768,10,10,2000.0,513.0,4,0,353.0,0.0,32,0,2998,0.0,1,756,0,1,0,0,1877.0,1121.0,166000
51,4,1981,576.0,2.0,1122.0,1328,82,60,1981.0,0.0,7,2,622.0,65.0,44,431,7804,1.0,0,653,0,1,0,0,2603.0,5201.0,135000
52,7,2784,564.0,2.0,1392.0,1392,32,32,1978.0,184.0,12,2,790.0,80.0,112,0,16692,1.0,1,1392,0,0,1,0,3574.0,13118.0,250000
53,4,1092,0.0,0.0,546.0,546,40,40,0.0,0.0,5,0,176.0,21.0,26,200,1476,0.0,1,546,1,0,0,0,1268.0,208.0,76000
54,6,1575,400.0,2.0,216.0,1575,59,59,1951.0,522.0,5,1,0.0,75.0,0,0,10170,0.0,1,0,1,0,0,0,1575.0,8595.0,155000
55,6,1352,299.0,1.0,663.0,663,41,41,1969.0,143.0,7,0,371.0,80.0,36,379,9364,0.0,1,689,1,0,0,0,1723.0,7641.0,158000
56,7,1200,480.0,2.0,600.0,600,6,5,2004.0,0.0,4,0,368.0,24.0,172,0,2544,1.0,1,600,0,1,0,0,1568.0,976.0,149500
57,5,936,240.0,1.0,936.0,936,56,35,1954.0,0.0,5,0,486.0,82.0,0,0,9888,0.0,0,0,1,0,0,0,1422.0,8466.0,121000
58,6,1040,293.0,1.0,1040.0,1040,57,57,1953.0,0.0,6,0,85.0,68.0,0,0,7942,0.0,0,0,1,0,0,0,1125.0,6817.0,136000
59,6,1636,386.0,2.0,916.0,916,14,14,1996.0,0.0,7,1,138.0,0.0,84,168,15038,0.0,1,720,0,1,0,0,1774.0,13264.0,173000
60,8,2270,671.0,3.0,1152.0,1164,11,3,1999.0,348.0,9,1,524.0,92.0,57,132,11764,0.0,1,1106,0,1,0,0,2794.0,8970.0,290000
61,8,2610,550.0,2.0,1184.0,1184,3,3,2007.0,0.0,11,1,64.0,75.0,364,208,9000,0.0,1,1426,0,1,0,0,2674.0,6326.0,303477
62,7,1483,690.0,2.0,1420.0,1483,33,9,1977.0,0.0,4,2,1092.0,0.0,0,496,20062,1.0,1,0,1,0,0,0,2575.0,17487.0,270000
63,5,1740,225.0,1.0,936.0,960,90,60,1920.0,0.0,6,1,360.0,81.0,0,0,7308,0.0,0,780,1,0,0,0,2100.0,5208.0,122250
64,5,1382,350.0,1.0,1382.0,1382,55,55,1955.0,0.0,6,0,172.0,70.0,0,280,8750,0.0,0,0,1,0,0,0,1554.0,7196.0,153000
65,5,1120,0.0,0.0,1120.0,1120,3,3,0.0,0.0,6,0,206.0,70.0,30,0,8402,0.0,0,0,1,0,0,0,1326.0,7076.0,147000
66,7,1098,216.0,1.0,531.0,567,80,15,1930.0,0.0,5,1,246.0,63.0,0,0,4000,1.0,0,531,1,0,0,0,1344.0,2656.0,148500
67,7,1708,380.0,2.0,976.0,976,6,6,2004.0,117.0,7,0,0.0,32.0,40,0,3363,0.0,0,732,0,1,0,0,1708.0,1655.0,130000
68,9,1802,843.0,3.0,1802.0,1802,4,4,2006.0,510.0,7,1,0.0,94.0,105,158,13615,0.0,1,0,0,1,0,0,1802.0,11813.0,372000
69,7,1506,440.0,2.0,1362.0,1506,5,5,2005.0,145.0,6,1,16.0,43.0,20,142,3013,0.0,0,0,0,1,0,0,1522.0,1491.0,213490
70,7,1508,572.0,2.0,1508.0,1508,1,0,2009.0,96.0,5,2,1346.0,44.0,0,0,17485,1.0,0,0,1,0,0,0,2854.0,14631.0,308030
71,7,2032,786.0,3.0,1840.0,2032,14,13,1996.0,668.0,7,0,700.0,0.0,46,0,23730,1.0,0,0,0,0,1,0,2732.0,20998.0,300000
72,6,1194,539.0,2.0,655.0,1194,51,51,1954.0,0.0,6,1,655.0,79.0,0,0,8910,0.0,0,0,1,0,0,0,1849.0,7061.0,159500
73,7,1709,380.0,2.0,970.0,970,6,6,2004.0,50.0,7,0,0.0,24.0,40,0,2522,0.0,0,739,0,1,0,0,1709.0,813.0,137500
74,7,1616,834.0,3.0,1616.0,1616,5,5,2005.0,228.0,7,0,0.0,73.0,59,208,8688,0.0,0,0,0,1,0,0,1616.0,7072.0,232000
75,6,768,440.0,2.0,768.0,768,80,60,1930.0,0.0,4,0,0.0,0.0,0,0,6291,0.0,0,0,1,0,0,0,768.0,5523.0,93850
76,5,872,322.0,1.0,872.0,872,86,60,1924.0,65.0,5,1,0.0,0.0,0,0,17529,0.0,0,0,1,0,0,0,872.0,16657.0,105000
77,4,520,240.0,1.0,520.0,520,83,60,1920.0,0.0,4,0,0.0,60.0,0,49,6324,0.0,0,0,1,0,0,0,520.0,5804.0,68500
78,5,2274,480.0,2.0,1105.0,1105,50,50,1960.0,361.0,12,0,443.0,80.0,0,0,11600,0.0,0,1169,0,1,0,0,2717.0,8883.0,154300
79,5,1601,0.0,0.0,936.0,936,85,7,0.0,0.0,6,0,0.0,50.0,0,0,7288,0.0,0,665,0,1,0,0,1601.0,5687.0,129850
80,5,1232,480.0,2.0,616.0,616,100,60,1920.0,0.0,6,0,168.0,35.0,0,280,4571,0.0,0,616,1,0,0,0,1400.0,3171.0,114000
81,9,2234,1166.0,3.0,2216.0,2234,2,1,2009.0,748.0,9,1,1904.0,63.0,60,0,17423,1.0,0,0,0,1,0,0,4138.0,13285.0,501837
82,5,1416,720.0,3.0,876.0,876,95,60,1949.0,0.0,7,1,0.0,100.0,0,418,12665,0.0,1,540,1,0,0,0,1416.0,11249.0,153900
83,4,864,576.0,2.0,864.0,864,39,4,1986.0,0.0,5,0,240.0,60.0,0,200,9000,0.0,0,0,1,0,0,0,1104.0,7896.0,130000
84,6,1189,392.0,2.0,1189.0,1189,13,13,1997.0,197.0,4,0,864.0,32.0,122,0,4500,1.0,0,0,0,1,0,0,2053.0,2447.0,160500
85,9,1666,575.0,2.0,1666.0,1666,4,4,2006.0,572.0,6,1,415.0,48.0,75,228,6373,1.0,0,0,0,1,0,0,2081.0,4292.0,310090
86,7,1200,555.0,2.0,1176.0,1200,7,7,2003.0,0.0,5,0,833.0,67.0,41,0,10083,1.0,0,0,0,1,0,0,2033.0,8050.0,184900
87,5,928,252.0,1.0,928.0,928,54,10,1956.0,0.0,4,0,377.0,70.0,0,261,13300,0.0,0,0,1,0,0,0,1305.0,11995.0,132000
88,5,1336,502.0,2.0,1288.0,1336,41,41,1969.0,128.0,6,1,553.0,80.0,11,312,9600,0.0,0,0,0,1,0,0,1889.0,7711.0,163000
89,7,1200,480.0,2.0,600.0,600,6,6,2004.0,120.0,4,0,280.0,30.0,172,0,3215,0.0,1,600,0,1,0,0,1480.0,1735.0,155000
90,6,1427,516.0,2.0,1427.0,1427,41,41,1969.0,0.0,7,0,828.0,0.0,0,0,11104,0.0,0,0,0,1,0,0,2255.0,8849.0,183000
91,7,1992,608.0,2.0,860.0,1212,14,8,1996.0,254.0,7,2,762.0,0.0,32,225,15295,1.0,1,780,0,1,0,0,2754.0,12541.0,211000
92,7,1540,495.0,2.0,754.0,754,16,16,1994.0,0.0,6,0,36.0,70.0,32,140,9109,1.0,1,786,0,1,0,0,1576.0,7533.0,184000
93,5,1535,400.0,2.0,0.0,1535,31,31,1979.0,0.0,8,0,0.0,64.0,0,0,7018,0.0,0,0,0,1,0,0,1535.0,5483.0,118858
94,5,1152,484.0,2.0,1152.0,1152,46,46,1964.0,86.0,6,1,1014.0,0.0,0,227,14112,1.0,0,0,1,0,0,0,2166.0,11946.0,180500
95,8,1151,484.0,2.0,1141.0,1151,4,3,2006.0,30.0,5,0,60.0,80.0,60,0,3523,1.0,0,0,0,1,0,0,1211.0,2312.0,166000
96,6,1138,480.0,2.0,1138.0,1138,50,50,1960.0,54.0,6,1,588.0,88.0,0,0,15312,0.0,0,0,1,0,0,0,1726.0,13586.0,148000
97,5,1074,396.0,2.0,894.0,1074,54,54,1966.0,0.0,6,1,438.0,74.0,72,0,7450,0.0,0,0,1,0,0,0,1512.0,5938.0,124000
98,9,1561,556.0,2.0,1561.0,1561,5,5,2005.0,246.0,6,1,1153.0,60.0,47,203,7313,1.0,0,0,0,1,0,0,2714.0,4599.0,277500
99,8,2726,725.0,3.0,1342.0,1358,15,15,1995.0,397.0,9,1,527.0,83.0,169,307,10019,0.0,1,1368,0,1,0,0,3253.0,6766.0,350000
100,9,1884,670.0,3.0,1884.0,1884,6,6,2004.0,296.0,7,1,1337.0,53.0,76,214,15401,1.0,0,0,0,1,0,0,3221.0,12180.0,387000
101,4,605,0.0,0.0,528.0,605,90,8,0.0,0.0,5,0,348.0,58.0,0,0,9098,1.0,0,0,1,0,0,0,953.0,8145.0,86000
102,8,1671,550.0,2.0,1426.0,1671,34,3,1976.0,0.0,6,1,1044.0,103.0,90,280,16280,1.0,0,0,0,0,1,0,2715.0,13565.0,290000
103,3,797,0.0,0.0,245.0,797,110,60,0.0,0.0,5,0,0.0,72.0,36,0,9392,0.0,0,0,1,0,0,0,797.0,8595.0,44000
104,6,1961,560.0,2.0,804.0,804,9,8,2001.0,0.0,7,1,690.0,71.0,192,125,12209,1.0,1,1157,0,1,0,0,2651.0,9558.0,215000
105,5,1193,501.0,2.0,1153.0,1193,38,38,1972.0,144.0,6,0,962.0,79.0,153,140,13110,1.0,0,0,0,1,0,0,2155.0,10955.0,146500
106,7,1382,490.0,2.0,673.0,673,10,10,2000.0,0.0,6,0,641.0,0.0,50,153,2651,1.0,1,709,0,1,0,0,2023.0,628.0,165000
107,6,2526,216.0,1.0,714.0,1664,94,60,1916.0,0.0,10,1,168.0,60.0,15,88,8520,0.0,0,862,0,1,0,0,2694.0,5826.0,136000
108,6,1390,550.0,2.0,1705.0,1390,53,53,1957.0,902.0,4,2,1110.0,0.0,189,0,39384,1.0,1,0,1,0,0,0,2500.0,36884.0,252000
109,7,1626,474.0,2.0,764.0,764,7,7,2003.0,106.0,6,0,0.0,36.0,27,0,2628,0.0,1,862,0,1,0,0,1626.0,1002.0,175500
110,5,1558,400.0,2.0,690.0,868,71,60,1939.0,0.0,7,1,421.0,57.0,36,0,6406,0.0,1,690,1,0,0,0,1979.0,4427.0,150000
111,5,1422,286.0,1.0,978.0,1422,50,32,1960.0,0.0,6,1,0.0,0.0,0,0,12342,0.0,0,0,1,0,0,0,1422.0,10920.0,139900
112,5,1573,360.0,2.0,1078.0,1128,80,18,1930.0,0.0,8,1,0.0,52.0,0,0,6240,0.0,0,445,0,1,0,0,1573.0,4667.0,162900
113,6,1116,440.0,2.0,1116.0,1116,48,48,1962.0,261.0,5,0,0.0,87.0,0,0,10000,0.0,1,0,1,0,0,0,1116.0,8884.0,160000
114,2,660,0.0,0.0,0.0,660,63,60,0.0,0.0,5,0,0.0,0.0,0,0,9000,0.0,0,0,1,0,0,0,660.0,8340.0,63900
115,6,1707,479.0,2.0,1140.0,1707,32,12,1978.0,144.0,7,1,832.0,80.0,0,0,11088,0.0,0,0,0,1,0,0,2539.0,8549.0,184000
116,5,1466,528.0,2.0,1466.0,1466,51,51,1959.0,132.0,6,2,176.0,134.0,140,0,17755,0.0,1,0,1,0,0,0,1642.0,16113.0,149900
117,9,1638,495.0,2.0,1614.0,1638,10,10,2000.0,260.0,5,1,1027.0,0.0,68,230,4765,1.0,0,0,0,1,0,0,2665.0,2100.0,300000
118,5,1721,626.0,2.0,988.0,1721,50,50,1960.0,275.0,7,2,988.0,0.0,84,50,10532,1.0,0,0,0,1,0,0,2709.0,7823.0,145000
119,6,1764,470.0,2.0,928.0,928,13,13,1997.0,0.0,7,0,821.0,65.0,99,276,15426,1.0,1,836,0,1,0,0,2585.0,12841.0,231500
120,5,996,0.0,0.0,996.0,996,70,41,0.0,0.0,6,1,290.0,63.0,0,144,13907,1.0,0,0,1,0,0,0,1286.0,12621.0,108000
121,5,1202,304.0,1.0,1202.0,1202,54,54,1956.0,0.0,6,0,435.0,70.0,35,0,8750,0.0,0,0,1,0,0,0,1637.0,7113.0,120000
122,5,988,572.0,2.0,988.0,988,49,49,1963.0,57.0,5,0,827.0,0.0,0,0,9945,1.0,0,0,1,0,0,0,1815.0,8130.0,128500
123,5,1028,360.0,2.0,1008.0,1028,83,60,1927.0,0.0,5,1,0.0,56.0,0,0,8960,0.0,0,0,1,0,0,0,1028.0,7932.0,115000
124,5,1284,240.0,1.0,720.0,720,63,60,1948.0,0.0,5,0,312.0,50.0,35,0,3500,0.0,1,564,1,0,0,0,1596.0,1904.0,110000
125,9,2944,864.0,3.0,994.0,1599,33,33,1977.0,1050.0,9,1,410.0,0.0,70,140,24572,0.0,2,1345,0,1,0,0,3354.0,21218.0,150000
126,8,1414,403.0,2.0,707.0,707,6,6,2004.0,0.0,6,1,0.0,74.0,35,100,9056,0.0,1,707,0,1,0,0,1414.0,7642.0,178000
127,7,1609,579.0,3.0,637.0,959,78,20,1963.0,0.0,8,2,0.0,70.0,0,0,12320,0.0,1,650,1,0,0,0,1609.0,10711.0,199500
128,6,1525,400.0,2.0,813.0,813,13,12,1997.0,0.0,6,1,700.0,60.0,72,421,8238,1.0,1,712,0,1,0,0,2225.0,6013.0,183500
129,5,1656,288.0,1.0,624.0,1092,43,43,1967.0,0.0,7,1,257.0,75.0,180,0,6000,0.0,1,564,1,0,0,0,1913.0,4087.0,126000
130,7,1055,440.0,2.0,1055.0,1055,33,33,1977.0,0.0,4,0,378.0,24.0,38,0,2529,0.0,0,0,0,1,0,0,1433.0,1096.0,148500
131,5,1352,720.0,2.0,676.0,676,71,4,1939.0,0.0,7,0,0.0,60.0,0,187,10800,0.0,0,676,0,1,0,0,1352.0,9448.0,149000
132,6,1456,440.0,2.0,855.0,855,33,33,1977.0,0.0,6,1,389.0,24.0,28,0,2349,0.0,1,601,0,1,0,0,1845.0,504.0,137900
133,8,1719,473.0,2.0,1719.0,1719,17,17,1993.0,0.0,6,2,1619.0,32.0,30,122,10846,2.0,1,0,1,0,0,0,3338.0,7508.0,324000
134,5,864,0.0,0.0,864.0,864,85,60,0.0,0.0,5,0,468.0,67.0,0,0,5604,1.0,0,0,1,0,0,0,1332.0,4272.0,98000
135,6,987,264.0,1.0,483.0,483,37,37,1973.0,359.0,5,0,458.0,21.0,0,52,1680,0.0,1,504,1,0,0,0,1445.0,235.0,103400
136,5,1020,0.0,0.0,780.0,780,135,14,0.0,0.0,6,0,0.0,54.0,0,0,6342,0.0,0,240,1,0,0,0,1020.0,5322.0,94000
137,8,1554,627.0,2.0,1554.0,1554,4,4,2006.0,108.0,6,1,24.0,34.0,73,156,4590,0.0,0,0,0,1,0,0,1578.0,3012.0,209500
138,10,3390,758.0,3.0,1528.0,1528,4,4,2006.0,662.0,10,1,0.0,60.0,34,204,18062,0.0,1,1862,0,0,1,0,3390.0,14672.0,545224
139,6,1560,0.0,0.0,780.0,780,98,1,0.0,0.0,7,0,0.0,60.0,0,344,12900,0.0,1,780,1,0,0,0,1560.0,11340.0,159900
140,4,864,400.0,2.0,864.0,864,59,59,1951.0,0.0,4,0,120.0,140.0,0,0,19138,0.0,0,0,1,0,0,0,984.0,18154.0,141000
141,6,1889,431.0,2.0,982.0,1008,10,10,2000.0,0.0,9,1,732.0,0.0,0,0,8658,0.0,1,881,0,1,0,0,2621.0,6037.0,215000
142,5,1040,260.0,1.0,1040.0,1040,48,0,1962.0,0.0,6,0,659.0,0.0,104,0,6897,1.0,1,0,1,0,0,0,1699.0,5198.0,127000
143,5,1172,366.0,1.0,1172.0,1172,56,12,1954.0,0.0,5,0,954.0,75.0,0,240,9525,1.0,0,0,1,0,0,0,2126.0,7399.0,128000
144,8,1418,852.0,3.0,1642.0,1418,0,0,2010.0,0.0,6,1,1032.0,57.0,192,160,12853,1.0,1,0,1,0,0,0,2450.0,10403.0,267916
145,6,1367,560.0,1.0,884.0,959,79,60,1978.0,0.0,6,1,425.0,52.0,0,0,6240,0.0,0,408,1,0,0,0,1792.0,4448.0,127500
146,7,1922,672.0,2.0,0.0,495,7,7,2003.0,500.0,7,1,0.0,64.0,0,0,7301,0.0,0,1427,0,0,1,0,1922.0,5379.0,198500
147,6,1422,576.0,2.0,1422.0,1422,29,29,1981.0,210.0,7,1,588.0,78.0,0,276,12090,0.0,0,0,0,1,0,0,2010.0,10080.0,175500
148,7,1842,486.0,2.0,985.0,985,10,10,2000.0,144.0,7,1,841.0,0.0,96,193,8826,1.0,1,857,0,1,0,0,2683.0,6143.0,217500
149,4,1962,572.0,2.0,888.0,888,95,60,1915.0,0.0,9,1,0.0,57.0,0,160,8094,0.0,1,1074,1,0,0,0,1962.0,6132.0,149500
150,5,1120,656.0,2.0,864.0,1120,44,6,1966.0,165.0,5,1,644.0,0.0,162,0,10710,0.0,0,0,1,0,0,0,1764.0,8946.0,148800
151,9,2868,716.0,3.0,1992.0,1992,5,4,2005.0,208.0,11,1,240.0,85.0,108,214,16056,0.0,1,876,0,0,1,0,3108.0,12948.0,556581
152,6,1478,442.0,2.0,1478.0,1478,53,53,1957.0,0.0,6,2,189.0,70.0,0,114,8400,1.0,1,0,1,0,0,0,1667.0,6733.0,156500
153,7,1995,610.0,2.0,930.0,950,15,14,1995.0,0.0,8,1,685.0,90.0,170,275,11250,1.0,1,1045,0,1,0,0,2680.0,8570.0,237000
154,5,912,297.0,1.0,912.0,912,52,25,1958.0,0.0,5,0,111.0,70.0,285,12,7535,0.0,0,0,1,0,0,0,1023.0,6512.0,120000
155,6,1326,388.0,2.0,1326.0,1326,5,5,2005.0,0.0,6,0,918.0,88.0,23,120,12216,1.0,0,0,0,1,0,0,2244.0,9972.0,203000
156,8,1204,461.0,2.0,1191.0,1204,23,23,1987.0,0.0,5,0,0.0,30.0,70,120,3701,0.0,0,0,0,1,0,0,1204.0,2497.0,130000
157,6,1611,442.0,2.0,780.0,798,46,46,1964.0,360.0,7,0,674.0,80.0,128,328,9760,1.0,1,813,1,0,0,0,2285.0,7475.0,167900
158,4,960,576.0,2.0,960.0,960,40,40,1970.0,160.0,6,0,789.0,60.0,288,0,9873,1.0,0,0,1,0,0,0,1749.0,8124.0,129000
159,5,1236,447.0,1.0,1070.0,1236,53,14,1957.0,64.0,6,1,360.0,72.0,0,0,10011,0.0,0,0,1,0,0,0,1596.0,8415.0,134450
160,5,1416,576.0,2.0,816.0,1416,92,3,2007.0,0.0,7,0,0.0,0.0,0,0,25339,0.0,0,0,0,1,0,0,1416.0,23923.0,112000
161,7,1873,619.0,2.0,929.0,946,22,22,1988.0,360.0,7,1,608.0,0.0,48,108,8883,1.0,1,927,0,1,0,0,2481.0,6402.0,207000
162,5,2128,0.0,0.0,1040.0,1088,88,60,0.0,0.0,11,0,0.0,50.0,56,0,3000,0.0,0,1040,0,1,0,0,2128.0,872.0,62500
